Owner;Country;Visitors;New visitors;Pageviews;Events;Sessions
Accenture LLP;European Union;1;1;1;0;1
Acer Telecomunicacoes ltda;Brazil;1;1;1;0;1
Activ8me;Australia;1;1;1;0;1
ActiveHost RU LLC;Russia;1;1;1;0;1
Acxiom Corporation;USA;1;1;1;0;1
Adams Telephone;USA;1;1;1;0;1
Adobe Systems Software Ireland Ltd;France;1;1;1;0;1
Advance Auto Parts;USA;1;1;1;0;1
Advanced Management Systems;New Zealand;1;1;1;0;1
Advanced Micro Devices;USA;1;1;1;0;1
Advanced Micro Devices;Canada;1;1;1;0;1
Advanced Micro Devices;India;1;1;1;0;1
Ae Corporate Services Co;USA;1;1;1;0;1
Affinion Group;USA;1;1;1;0;1
Afranet;Iran;1;1;1;0;1
Africell Uganda Ltd;Uganda;1;1;1;0;1
Agora TC Sp.z.o.o;Poland;1;1;1;0;1
Ahnlab;South Korea;1;1;1;0;1
Airenetworks S.L.U;Spain;1;1;1;0;1
Airnet Cable And Datacom Pvt;India;1;1;1;0;1
Airspeed Communications Unlimited Company;Ireland;1;1;1;0;1
Airstream Communications;USA;1;1;1;0;1
Airtech Internet Solutions Pvt;India;1;1;1;0;1
Airwir Technologies Private Limited;India;1;1;1;0;1
Akamai Technologies;USA;1;1;1;0;1
Akamai Technologies;Israel;1;1;1;0;1
Akamai Technologies;Saudi Arabia;1;1;1;0;1
Akuna Capital LLC;USA;1;1;1;0;1
Alands Telekommunikation Ab;Aland Islands;1;1;1;0;1
Alestra;Mexico;1;1;1;0;1
Alfa Financial Software Limited;UK;1;1;1;0;1
Algerie Telecom Mobile MOBILIS;Algeria;1;1;1;0;1
Algerie Telecom djaweb;Algeria;1;1;1;0;1
Alibaba;Singapore;1;1;1;0;1
Alien Dns Pvt;India;1;1;1;0;1
Alinta Asset Management Pty;Australia;1;1;1;0;1
AllSafe Sarl;Switzerland;1;1;1;0;1
Allay Nawroz Telecom Company for Communication/Ltd;Iraq;1;1;1;0;1
Allergan;USA;1;1;1;0;1
AllianceBernstein L.P;USA;1;1;1;0;1
Allianz Technology SE;Germany;1;1;1;0;1
Ally Financial;USA;1;1;1;0;1
Alphalink;France;1;1;1;0;1
Alteva;USA;1;1;1;0;1
Altibox AS;Denmark;1;1;1;0;1
Altruista Health;USA;1;1;1;0;1
AltusHost B.V;Republic of Serbia;1;1;1;0;1
Amarutu Technology Ltd;Other;1;1;1;0;1
Amazon;Ireland;1;1;1;0;1
Amazon;Singapore;1;1;1;0;1
Amazonia Telecomunicacoes Ltda;Brazil;1;1;1;0;1
Ameex Technologies Pvt;India;1;1;1;0;1
American Family Insurance;USA;1;1;1;0;1
Americatel Peru S.A;Peru;1;1;1;0;1
Ameriprise Financial Services;USA;1;1;1;0;1
Amit Net Telecom LTD;Israel;1;1;1;0;1
Amnet IT Services Pty;Australia;1;1;1;0;1
Amnet Telecomunicaciones S.A;Nicaragua;1;1;1;0;1
Ampernet Telecomunicacoes Ltda;Brazil;1;1;1;0;1
Angel Air Network Solutions Pvt;India;1;1;1;0;1
Anmax Telecom SpA;Chile;1;0;1;0;1
Anne Arundel County Govt;USA;1;1;1;0;1
Ansys;USA;1;1;1;0;1
Antietam Broadband;USA;1;1;1;0;1
AoNet Broadband;New Zealand;1;1;1;0;1
Apfutura Internacional Soluciones Sl;Spain;1;1;1;0;1
Apple;Japan;1;1;1;0;1
Apple;Hong Kong;1;1;1;0;1
Apple;China;1;1;1;0;1
ArcelorMittal Sistemas SA;Brazil;1;1;1;0;1
Arch U.S MI Services;USA;1;1;1;0;1
Area Science Park;Italy;1;0;1;0;1
Argonne National Lab;USA;1;1;1;0;1
Ari@net SRL;Italy;1;1;1;0;1
Ariba;USA;1;1;1;0;1
Arizona Public Service Company;USA;1;1;1;0;1
Arizona Tri University Network;USA;1;1;1;0;1
Arjun Infotech;India;1;1;1;0;1
Arkansas State University;USA;1;1;1;0;1
Arrow Electronics;USA;1;1;1;0;1
Aruba Networks;USA;1;1;1;0;1
Aruba S.p.A;Italy;1;1;1;0;1
Aruba SAS;France;1;1;1;0;1
As Sistemas Ltda;Brazil;1;1;1;0;1
Asan Pardakht Persian Private Stock;Iran;1;1;1;0;1
Asb Bank Limited;New Zealand;1;1;1;0;1
Ascena;USA;1;1;1;0;1
Ascension-wheaton;USA;1;1;1;0;1
Ashland Fiber Network;USA;1;1;1;0;1
Asia Pacific Telecom;Taiwan;1;1;1;0;1
Asiatech Data Transmission company;Iran;1;1;1;0;1
Asr-e Enteghal-e Dadeha Company (Private J.S.);Iran;1;1;1;0;1
Associated Food Stores;USA;1;1;1;0;1
Assurant;USA;1;1;1;0;1
Asurion Insurance Services;Japan;1;1;1;0;1
Atea A/S;Denmark;1;1;1;0;1
Atilio Marcos Marcari e Cia Ltda Me;Brazil;1;1;1;0;1
Atlanticare Health System;USA;1;0;1;0;1
Atlantique Telecom;Ivory Coast;1;1;1;0;1
Atlink Services;USA;1;1;1;0;1
Atos IT Services UK Ltd;UK;1;1;1;0;1
Aureon Network Services;USA;1;1;1;0;1
Auspice Infratel Pvt;India;1;1;1;0;1
Australian Energy Market Operator;Australia;1;1;1;0;1
Australian Taxation OAffice;Australia;1;1;1;0;1
AutoZone;USA;1;1;1;0;1
Availity;USA;1;1;1;0;1
Availo Networks AB;Sweden;1;1;1;0;1
Avatel & Wikiker Telecom S.L;Spain;1;1;1;0;1
Aviti ltd;Ukraine;1;1;1;0;1
Awaser Oman LLC;Oman;1;1;1;0;1
Axione S.a.s;France;1;1;1;0;1
AzFiberNet Ltd;Azerbaijan;1;1;1;0;1
BANDA LARGA UP;Brazil;1;1;1;0;1
BBN Technologies Corp;USA;1;1;1;0;1
BDBC-6;Canada;1;1;1;0;1
BGP ASN for Novartis Hyderabad office internet pee;India;1;1;1;0;1
BGPNET Global;Japan;1;1;1;0;1
BHP Billiton;Australia;1;1;1;0;1
BI WORLDWIDE;USA;1;1;1;0;1
BITCO;South Africa;1;1;1;0;1
BITFLUX;Nigeria;1;1;1;0;1
BJNET PROVEDOR DE INTERNET LTDA;Brazil;1;1;1;0;1
BLUE COAT SYSTEMS;Australia;1;1;1;0;1
BMC Software;USA;1;1;1;0;1
BMC Software India Pvt;India;1;1;1;0;1
BSE Software GmbH;Switzerland;1;1;1;0;1
BSH IT Solutions GmbH;Germany;1;1;1;0;1
BSkyB Broadband Ireland;Ireland;1;1;1;0;1
Bachmann electronic GmbH;Austria;1;1;1;0;1
Backbone Connect;UK;1;1;1;0;1
Balaji Services;India;1;1;1;0;1
BalsamWest FiberNET;USA;1;1;1;0;1
Balticom;Latvia;1;1;1;0;1
Balticum;Lithuania;1;1;1;0;1
Banca D'italia;Italy;1;1;1;0;1
Banca Monte Dei Paschi Di Siena S.P.A;Italy;1;0;1;0;1
Banco Bilbao Vizcaya Argentaria;Spain;1;1;1;0;1
Banco Bradesco SA;Brazil;1;1;1;0;1
Banco Popular;Puerto Rico;1;1;1;0;1
Banco do Estado do Rio Grande do Sul;Brazil;1;0;1;0;1
Bank Of Taiwan;Taiwan;1;1;1;0;1
Bank Polska Kasa Opieki S.A;Poland;1;1;1;0;1
Bank of America;India;1;1;1;0;1
Bank of America;Singapore;1;1;1;0;1
Bank of the West;USA;1;1;1;0;1
Banque Laurentienne du Canada;Canada;1;1;1;0;1
Baptist Healthcare System;USA;1;1;1;0;1
Baptist Memorial Health Care Corporation;USA;1;0;1;0;1
Barclays Capital;Hong Kong;1;1;1;0;1
Base64 Pty;Australia;1;1;1;0;1
Batelco;Bahrain;1;1;1;0;1
Bechtel Corporation;USA;1;1;1;0;1
Bel Air Internet;USA;1;1;1;0;1
Belize Telemedia Limited;Belize;1;1;1;0;1
Beltraonet Telecom;Brazil;1;1;1;0;1
Best Buy Canada;Canada;1;1;1;0;1
Bestgo.pl Sp. Z O.o;Poland;1;1;1;0;1
Bezek;Israel;1;0;1;0;1
Bhwani Cable and Broadband Services;India;1;1;1;0;1
BiKaDa TOO;Kazakhstan;1;1;1;0;1
Biazi Telecomunicacoes Ltda Epp;Brazil;1;1;1;0;1
Bigpipe;New Zealand;1;1;1;0;1
Bilink LLC;Ukraine;1;1;1;0;1
Birmingham City Council;UK;1;1;1;0;1
Biro Statistics;Indonesia;1;1;1;0;1
Bitpro;Norway;1;1;1;0;1
Bittium Technologies Oy;Finland;1;1;1;0;1
Bitwise Solutions Pvt;India;1;1;1;0;1
BlackBerry Limited;USA;1;1;1;0;1
BlackRock Financial Management;Singapore;1;1;1;0;1
Blade SAS;France;1;1;1;0;1
Blizzard Entertainment;USA;1;1;1;0;1
Blood Systems;USA;1;1;1;0;1
Blue Cross & Blue Shield of Minnesota;USA;1;1;1;0;1
Blue Cross Blue Shield Of Louisiana;USA;1;1;1;0;1
Blue Cross and Blue Shield of Alabama;USA;1;1;1;0;1
Blue Shield of California;USA;1;1;1;0;1
BlueCross BlueShield of Tennessee;USA;1;1;1;0;1
BlueMountain Capital Management;USA;1;1;1;0;1
Bluecrane;Uganda;1;1;1;0;1
Bnp Paribas S.A;Germany;1;1;1;0;1
Bnp Paribas S.A;UK;1;1;1;0;1
Bnp Paribas SA;Australia;1;1;1;0;1
Bnp Paribas SA;Asia-Pacific;1;1;1;0;1
Bolignet-Aarhus;Denmark;1;1;1;0;1
Boys Town;USA;1;1;1;0;1
Branch Enterprise Netgroup-Service;Ukraine;1;1;1;0;1
Brascloud Ltda - Me;Brazil;1;1;1;0;1
Bravo Telecom;Canada;1;1;1;0;1
Bremen Briteline GmbH;Germany;1;1;1;0;1
Brennercom S.p.A;Italy;1;1;1;0;1
Bretagne Telecom SAS;France;1;1;1;0;1
Bridgestone Americas;USA;1;1;1;0;1
Bridgewater Associates;USA;1;1;1;0;1
Brightsolid Online Technology Ltd;UK;1;1;1;0;1
Bristol City Council;UK;1;1;1;0;1
British Broadcasting Corporation;UK;1;1;1;0;1
Broad Net India Private Limited;India;1;0;1;0;1
BroadSoft;USA;1;1;1;0;1
Broadband Plus;Lebanon;1;1;1;0;1
Broadbandtech S. A;Argentina;1;1;1;0;1
Broadridge Customer Communications Canada;Canada;1;1;1;0;1
Bronson Healthcare Group;USA;1;1;1;0;1
Brown Brothers Harriman & Company;Poland;1;1;1;0;1
Brownsville Public Utilities Board;USA;1;1;1;0;1
Bryan Health;USA;1;0;1;0;1
Bundesamt fuer Finanzen;Germany;1;1;1;0;1
Bundesamt fuer Sicherheit in der Informationstechn;Germany;1;1;1;0;1
Burgasnet LTD;Bulgaria;1;0;1;0;1
Burlington Telecom;USA;1;1;1;0;1
Buroserv Australia Pty;Australia;1;1;1;0;1
C Spire;USA;1;1;1;0;1
CABLESAT S.A. DE C.V;El Salvador;1;1;1;0;1
CAC;Egypt;1;1;1;0;1
CAT Telecom Public Company Limited;Thailand;1;1;1;0;1
CDE nove tehnologije d.o.o;Slovenia;1;1;1;0;1
CETIN a.s;Czech Republic;1;0;1;0;1
CETRTAPOT;Slovenia;1;1;1;0;1
CGI Sverige AB;Sweden;1;1;1;0;1
CHINATELECOM JiangSu YangZhou IDC networkdescr: Ya;China;1;1;1;0;1
CHP Mediana-Servis;Ukraine;1;1;1;0;1
CJONLINE ISP India;India;1;1;1;0;1
CMA Consultoria Metodos Assessoria e Mercantil S/A;Brazil;1;1;1;0;1
CMG-ASN;USA;1;1;1;0;1
COLI Inc;USA;1;1;1;0;1
COMP-SHOP;Slovakia;1;0;1;0;1
CPB-Software (Austria) GmbH;Austria;1;1;1;0;1
CPRnet.pl;Poland;1;1;1;0;1
CS Technologies;USA;1;1;1;0;1
CSC Australia Pty;Australia;1;1;1;0;1
CSG Systems;USA;1;1;1;0;1
CSL Mobile;Hong Kong;1;1;1;0;1
CT Communications Network;USA;1;1;1;0;1
CV-Multimedia;Cape Verde;1;1;1;0;1
CVIN LLC;USA;1;1;1;0;1
CYNET;Cyprus;1;1;1;0;1
Cable Co-op;USA;1;1;1;0;1
Cable TV Elpos Ltd;Poland;1;1;1;0;1
Cajamar Caja Rural;Spain;1;1;1;0;1
California State Franchise Tax Board;USA;1;1;1;0;1
California State Teachers Retirement System (CalST;USA;1;1;1;0;1
California State University;USA;1;1;1;0;1
Cambodian Singmeng Telemedia Co;Cambodia;1;1;1;0;1
Canada Pension Plan Investment Board;Canada;1;1;1;0;1
Canadian National Railway;Canada;1;1;1;0;1
Cancer Treatment Centers of America;USA;1;1;1;0;1
Canon USA;USA;1;0;1;0;1
Capgemini Nederland B.V;Netherlands;1;1;1;0;1
Capgemini Technology Services India Limited;India;1;1;1;0;1
Capgemini U.S. LLC;USA;1;1;1;0;1
Capgemini U.S. LLC;Germany;1;1;1;0;1
Cargill;USA;1;1;1;0;1
CariNet;USA;1;1;1;0;1
Carnival Cruise Lines;USA;1;1;1;0;1
Carpathia Hosting;USA;1;1;1;0;1
Carrefour Systemes D'information;France;1;1;1;0;1
Cascadelink;USA;1;1;1;0;1
Cass Cable TV;USA;1;1;1;0;1
Cathay Pacific Airways;Hong Kong;1;1;1;0;1
Cato Networks Ltd;UK;1;1;1;0;1
Cato Networks Ltd;Austria;1;1;1;0;1
Cbeyond Communications;USA;1;1;1;0;1
Cbre;USA;1;1;1;0;1
Cecabank;Spain;1;1;1;0;1
Cedar Networks;USA;1;1;1;0;1
Cegeka NV;Netherlands;1;1;1;0;1
Cegeka NV;Belgium;1;1;1;0;1
Celeste SAS;France;1;1;1;0;1
Cello Group Limited;New Zealand;1;1;1;0;1
Center Prestadora Servicos S/C Ltda;Brazil;1;1;1;0;1
Central Informatics Organisation;Bahrain;1;1;1;0;1
Centre des technologies de l'information de l'Etat;Luxembourg;1;1;1;0;1
CentroSet Ltd;Russia;1;1;1;0;1
Centura Health Corporation;USA;1;1;1;0;1
Cerner Limited;UK;1;1;1;0;1
Certto Telecomunicacoes Ltda Epp;Brazil;1;1;1;0;1
Ceska sporitelna a.s;Czech Republic;1;1;1;0;1
Chaika Telecom Petersburg Limited Company;Russia;1;1;1;0;1
Chandra Digital Communications And Networks;India;1;1;1;0;1
Chevron;USA;1;1;1;0;1
Chevron;Australia;1;1;1;0;1
China Telecom Sichuan province Chengdu MAN network;China;1;1;1;0;1
China Unicom IP network;China;1;1;1;0;1
China Unicom Shannxi province network;China;1;0;1;0;1
ChoicePoint;USA;1;1;1;0;1
Choopa;Canada;1;1;1;0;1
Choopa;Australia;1;1;1;0;1
Choopa;Germany;1;1;1;0;1
Choopa;Netherlands;1;1;1;0;1
Chubu Telecommunications Company;Japan;1;1;1;0;1
ChunkyChips.net Limited;UK;1;1;1;0;1
Cifra1;Russia;1;1;1;0;1
Cifrova Kabelna Korporacia EOOD;Bulgaria;1;1;1;0;1
Cigna HLA Technology Services Company Ltd;UK;1;1;1;0;1
Cinemark Usa;USA;1;1;1;0;1
Cinia Oy;Finland;1;1;1;0;1
Cipherkey Exchange Corp;Canada;1;1;1;0;1
Cisco OpenDNS;UK;1;1;1;0;1
Cisco Systems Israel Ltd;Israel;1;1;1;0;1
Citadel Investment Group;USA;1;0;1;0;1
Citibank;Hong Kong;1;1;1;0;1
Citigroup;Mexico;1;1;1;0;1
Citizens Medical Center;USA;1;1;1;0;1
City of Bardstown;USA;1;1;1;0;1
City of Boise;USA;1;1;1;0;1
City of Chandler;USA;1;1;1;0;1
City of LaGrange;USA;1;1;1;0;1
City of Thomasville Utilities;USA;1;1;1;0;1
Citycom Telekommunikation GmbH;Austria;1;1;1;0;1
Civica UK Ltd;UK;1;1;1;0;1
Cl Online Network Technology Co;Russia;1;1;1;0;1
Clark County School District;USA;1;1;1;0;1
Clean Net Telecom Ltda;Brazil;1;1;1;0;1
Clemson University;USA;1;1;1;0;1
Clevernet GmbH;Germany;1;1;1;0;1
Cloud Valley Technology Limited;Hong Kong;1;1;1;0;1
Cloud Valley Technology Limited;China;1;1;1;0;1
Cloudflare Warp;USA;1;1;1;0;1
Cloudflare Warp;Canada;1;1;1;0;1
Cloudflare Warp;Russia;1;1;1;0;1
Cloudnet Communications Pvt;India;1;1;1;0;1
Cloudwifi;Canada;1;1;1;0;1
Clouvider Limited;Germany;1;1;1;0;1
Cn Care Network;Hong Kong;1;1;1;0;1
CoBank;USA;1;1;1;0;1
Coastal Broadband And Online Services Pvt;India;1;1;1;0;1
Coditel Brabant SPRL/BVBA;Belgium;1;1;1;0;1
Coextro;Canada;1;1;1;0;1
Cogeco Peer 1;Canada;1;1;1;0;1
Cogetel Online;Cambodia;1;1;1;0;1
Coles Group;Australia;1;1;1;0;1
Colocation America Corporation;USA;1;1;1;0;1
Colruyt Group Services NV;Belgium;1;1;1;0;1
Columbia Sportswear Company;USA;1;1;1;0;1
Columbus Communications Grenada;Grenada;1;1;1;0;1
Columbus Communications Trinidad Limited;Trinidad and Tobago;1;1;1;0;1
Com 2002;Spain;1;0;1;0;1
Comarch S.A;Poland;1;1;1;0;1
Comcel S.A;Colombia;1;1;1;0;1
Comfo LTD;Ukraine;1;0;1;0;1
Comfortel Ltd;Russia;1;1;1;0;1
Comline AG;Germany;1;1;1;0;1
Commerzbank Aktiengesellschaft;Germany;1;1;1;0;1
Commonwealth Bank of Australia;Australia;1;1;1;0;1
Commonwealth Bureau of Meteorology;Australia;1;1;1;0;1
Commonwealth of Massachusetts;USA;1;1;1;0;1
Communication Regulatory Authority;Iran;1;1;1;0;1
Communications & Power Industries;Canada;1;1;1;0;1
Community Communications Pty;Australia;1;1;1;0;1
Community Fibre Limited;UK;1;1;1;0;1
Community Hospitals;USA;1;0;1;0;1
CommunityAmerica Credit Union;USA;1;1;1;0;1
Compagnie Francaise d'Assurance pour le Commerce E;France;1;1;1;0;1
Completel SAS;France;1;1;1;0;1
Computer Engineering & Consulting;Japan;1;1;1;0;1
Computer Sciences Corporation;Australia;1;1;1;0;1
Comtrade programske resitve d.o.o;Slovenia;1;1;1;0;1
Comunicacoes Multimedia;Mozambique;1;1;1;0;1
Conchalnet Telecomunicacoes LTDA - ME;Brazil;1;1;1;0;1
Condornet;Slovakia;1;1;1;0;1
Conection Servicos De Valor Adicionado Ltda;Brazil;1;1;1;0;1
Conectmais Comunicacoes Ltda;Brazil;1;1;1;0;1
Connect LLC;Azerbaijan;1;1;1;0;1
Connect plus s.r.o;Czech Republic;1;1;1;0;1
Connectvy Telecomunicacoes Ltda;Brazil;1;1;1;0;1
ConocoPhillips Company;USA;1;1;1;0;1
ConocoPhillips Company;Australia;1;0;1;0;1
Conseco Companies;USA;1;1;1;0;1
Consolidated Edison Co. of New York;USA;1;1;1;0;1
Consolidated Telephone Co;USA;1;1;1;0;1
Contabo GmbH;Germany;1;1;1;0;1
Conterra;USA;1;1;1;0;1
Converge Information And Communications Technology;Philippines;1;1;1;0;1
Convergenze S.p.A;Italy;1;1;1;0;1
Convergys Corporation;USA;1;1;1;0;1
Conway Corporation;USA;1;1;1;0;1
Cook County;USA;1;1;1;0;1
Cooolbox SA;Bulgaria;1;1;1;0;1
Cooperative de cablodistribution de l'arriere-pays;Canada;1;1;1;0;1
Copenhagen Airports A/S;Denmark;1;1;1;0;1
Coriolis Telecom SAS;France;1;1;1;0;1
Corporacion Telemic C.A;Venezuela;1;0;1;0;1
Corporate One Federal Credit;USA;1;1;1;0;1
Corporation Service Company;USA;1;1;1;0;1
Corporation of the Presiding Bishop of the Church;USA;1;1;1;0;1
Costar Group;USA;1;1;1;0;1
County of Santa Cruz;USA;1;1;1;0;1
Cox Enterprises;USA;1;1;1;0;1
Craze It Solutions Pvt;India;1;1;1;0;1
Credit Agricole S.A;France;1;1;1;0;1
Crnogorski Telekom a.d.Podgorica;Montenegro;1;1;1;0;1
Croatian Academic and Research Network;Croatia;1;1;1;0;1
Cronomagic Canada;Canada;1;1;1;0;1
Cvent India Pvt;India;1;1;1;0;1
Cybercon;USA;1;0;1;0;1
Cznet s.r.o;Czech Republic;1;1;1;0;1
D Elektronik Sans Oyunlari Ve Yayincilik A.s;Turkey;1;1;1;0;1
D&H Distributing Company;USA;1;1;1;0;1
DATAK Internet Engineering;Iran;1;1;1;0;1
DATEV eG;Germany;1;1;1;0;1
DIGI;Spain;1;1;1;0;1
DLIVE;South Korea;1;1;1;0;1
DRW Holdings;USA;1;1;1;0;1
DSI DATA;Slovakia;1;1;1;0;1
DSI GmbH Daten Service Informationssysteme;Germany;1;1;1;0;1
DSTL-2;USA;1;1;1;0;1
DSV A/S;USA;1;1;1;0;1